 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Set/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7;42;105;393;1828;5242;5562;5105;5175;5148;6099;7080;7332;6875;6907;6699;5864;7062;6923;9130;8415;8403;7383;7884;8161;8019;8521;8352;8359;8670;7945;9036;8551;8622;7861;8332;8618;8403;8182;8293;7930;7821;7785;8691;8836;8274;8195;7814;8681;7918;8245;8254;7422;8153;7955;8570;8422;8605;8013;7832;7917;7448;7948;7605;7318;8123;8072;9354;9352;8818;8400;8895;9254;8940;9568;9482;9094;9469;8764;9715;9807;10377;9758;9830;10099;10146;10043;9769;9190;9094;8639;9954;9415;9914;9280;9374;9479;9365;9283;8938;8882;8780;8810;9742;9819;10085;9687;9171;9362;9205;9338;8556;8351;8496;8227;10310;9520;10111;9406;9453;10057;9594;10208;9734;9668;9775;9161;10508;10333;10913;10051;10068;10339;9821;10357;10086;9561;9448;9580;10572;10785;11290;9995;9940;9942;10147;10367;10365;9861;9838;9506;8710;7159;7443;7797;8560;9073;8596;9004;9139;8801;8932;8676;10153;10051;10243;9220;8130;6192;1826;1448181
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;5;17;100;573;1490;3735;3723;4163;4223;4471;4478;4083;3823;4182;4141;3928;4060;4056;3782;4519;4274;4597;3933;3787;3027;1971;4232;4158;4026;4034;3624;4556;4508;4293;3963;3958;4102;4156;4406;4124;4054;4621;4129;4573;4351;4863;4364;4314;4323;4240;4154;4159;4118;4567;3911;4589;4300;4377;4403;4751;4459;4526;4672;4425;4031;4457;3877;4594;4528;4285;4079;4375;4420;4323;4651;4318;4066;4186;4066;4393;4639;4674;4521;4486;4352;4030;4555;4358;4089;4037;3712;4142;4081;4102;4173;4051;4129;4122;4162;3760;3876;3971;3974;4050;3854;3936;4006;4093;4107;3780;3767;3422;3744;3776;3504;3823;3369;3793;3880;3923;4066;3850;4000;3986;3667;3978;3549;3982;4026;3970;3854;3980;4066;3793;3961;3120;3024;3511;3162;3259;3589;4065;3987;4032;3872;3989;4114;3654;3622;3861;3799;3668;2840;2818;3073;3571;3574;3726;3985;3859;3901;4061;3846;4030;3930;4161;3853;3391;2097;-;659770
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;1;59;69;565;2780;9979;16105;13830;14870;14323;14914;14578;14938;14419;13349;12607;12137;12054;12594;12171;13892;12228;12530;13410;13493;13746;13201;12616;12711;12554;13547;12403;14619;13676;13545;13197;13188;13595;13492;14069;13214;13308;13981;13492;15193;14388;13666;13548;13345;13716;13051;13756;14323;11684;13009;12190;14766;14171;14708;13947;14256;14203;12929;13946;13313;12290;15041;12385;13776;13876;14402;13984;13759;13531;13177;13564;13227;12251;12565;11136;12367;12671;12935;12322;12951;13000;13696;13900;13207;12632;13861;12955;15015;14308;15144;14909;14882;14464;14233;14100;13599;13332;14122;13382;15172;14598;14719;14404;13866;14008;13060;13337;12312;12468;13586;13063;14837;14572;15575;15145;14971;15556;14419;15448;14493;14329;15371;13688;15559;15958;16321;15376;16276;16129;15388;16098;15183;14726;16056;14900;16965;16363;16663;16043;16828;17190;16336;16995;16072;15462;16599;15464;15347;12297;13284;13955;15422;15734;15750;15819;15499;16391;17966;15758;17649;16847;17922;17552;17543;14105;7167;2361068
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14;8;73;818;1121;1898;1739;2047;2211;2415;2295;2228;2298;2116;2205;2122;1986;2224;2142;2525;2256;2372;2371;2646;2610;2558;2473;2447;2236;2568;2277;2828;2590;2984;3028;3085;3099;2800;2658;2528;2382;2541;1984;2077;2185;2620;2596;2568;2735;2837;2702;2669;2543;2463;2556;2811;2620;3019;2655;2529;2663;2395;1970;2519;2289;2597;2314;2779;2710;2880;3103;2902;2867;2827;2830;2650;2569;2724;2298;2750;2630;2884;2489;2870;2796;2788;2742;2704;2518;2756;2411;2730;2793;3062;2985;3144;3166;3041;2811;2783;2636;2897;2839;3107;2766;2929;3238;3282;3604;3104;3269;3226;3063;3276;3267;3755;3572;3988;3773;3727;3814;3735;3760;3621;3522;3663;3242;3477;3416;3727;3813;3939;4048;3814;3779;3258;3286;3516;3329;3463;3636;3632;3507;3922;4084;3956;4199;3925;3551;3731;3593;3452;2584;2884;2974;3080;3332;3302;3404;3250;3371;3541;3415;3612;3407;3616;3576;3580;3239;2072;487698
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;6;-;-;1;1;4;404;798;3202;8690;24750;43852;40231;43323;44804;44901;43422;42168;42630;43168;41580;39506;38092;42672;39248;46803;45701;44886;43625;44195;46068;45589;44502;44227;41354;43788;42352;48042;44279;46368;43794;41939;45707;44420;42919;43122;42314;44277;42080;46632;42499;43524;41324;38786;43310;42330;41826;42095;40992;42773;40575;45640;42975;43566;38997;37421;38751;40222;39931;38638;35929;41517;38343;43823;44713;43391;40622;39343;40723;41419;41771;39862;38681;41274;39604;43603;42448;43232;39815;41223;41476;41722;40687;40223;37581;38775;35886;42980;41230;41790;39510;38562;39570;38830;39156;37784;36775;37927;37504;41969;40891;40156;38650;38226;41194;39850;37542;36531;33986;39046;35878;42632;38556;42574;39699;39191;41852;40184;41739;40430;38412;40951;37788;42206;43040;43194;41049;40483;42650;41033;43606;39448;38237;41265;38062;41238;40082;40816;36955;40696;40637;41054;42402;40457;39009;41444;38620;37848;29001;31530;32415;36057;37171;36745;38545;37309;36327;37233;35158;41779;38160;39967;38167;33257;23036;5782;6703021
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;25;75;272;258;524;1602;2721;2511;2390;2663;2740;2699;2674;2931;2852;3017;2897;3018;3110;2687;3299;3236;3407;3119;3086;3357;3228;3029;2885;2890;3070;2715;3169;3134;3074;3159;3201;3468;3180;2912;2722;2654;2976;2789;3221;3329;3258;2912;3034;3119;3204;3185;3121;2933;3070;2972;3335;3193;3310;3019;3342;3344;3147;3326;3136;2892;3123;2955;3278;3422;3202;3001;3128;3271;3247;3510;3172;3043;3187;2974;3145;3259;3136;2652;2969;3093;3194;3181;2725;2521;2595;2471;3019;2959;3062;3087;3033;3088;3093;3041;2825;2550;2595;2403;2819;2686;2777;2965;2702;2791;2670;2601;2593;2490;2805;2449;3163;2903;3096;2941;2844;3091;2938;2834;2663;2484;2744;2540;2797;3101;3139;3041;3132;3508;3510;3576;3303;3301;3454;3386;3533;3542;3272;3329;3356;3147;3494;3476;3298;3013;3313;3143;2956;2295;2526;2617;2746;2993;2822;3112;2890;2969;3109;2919;3586;3225;3481;3220;3232;2586;1025;499102
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;8;48;206;1195;4974;8645;7949;8674;8926;8890;8587;7728;8462;8387;8640;7775;7652;8324;7953;9300;8718;8670;8477;8106;8530;8305;8536;8713;8193;8558;8127;9599;9170;8943;8243;8353;9363;8847;8623;8533;8289;8884;8574;9843;9420;9477;8926;8347;9119;9170;9242;9633;9153;8912;8940;10124;9886;9534;8762;8547;9001;8591;8398;7916;8121;8508;8237;9289;9237;9273;8835;8646;8773;9105;9295;8605;8277;8611;8109;8805;8781;8849;8745;8361;8863;8809;8843;7975;7520;7077;6763;7582;7893;7517;7282;6618;7028;6695;6694;6139;5461;5655;6267;6954;6999;6951;6483;6428;6288;6029;5973;6141;6029;6371;6182;7706;6637;6999;6820;6264;6640;6323;6243;5472;5991;5881;5176;6003;6235;6520;5582;5184;5636;5548;6041;6123;6173;5947;5842;6645;7160;7178;6876;6587;7165;7159;7229;7420;7480;7132;7149;6669;5899;5756;6040;6294;6432;6253;6434;6431;6533;6355;6376;7193;7085;7544;4903;3420;2163;364;1249904
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;6;-;1;3;-;18;461;1103;2803;6286;14249;32405;26386;28774;29582;28091;28314;27919;28385;28974;27820;26507;24202;28658;27006;33175;30962;31273;30161;30338;31177;32326;32916;31071;29075;33152;30419;34997;33550;34554;33504;33695;34392;34156;33615;33253;31650;35686;34237;35868;33962;34031;32089;32503;35279;33125;34117;34998;32757;33915;31572;36666;34306;36074;32916;33203;34322;32862;31391;28531;26404;36287;31403;35133;35743;35909;32918;34450;35268;35132;36510;34249;33197;36083;33865;36841;36132;36055;34222;35752;36057;35829;35471;33723;32040;34142;32254;40096;37819;36890;35116;36174;36324;35589;36430;33489;32301;35316;35333;37345;36360;36920;35256;33593;36500;34257;32283;30334;27123;34503;33178;38482;35453;38922;36825;37793;37352;36028;38008;37160;36257;40843;35226;39746;41281;41839;38612;39777;40949;39385;40936;37764;35684;38663;35503;39859;40352;41679;37844;39177;38642;38415;39408;38329;36881;38759;36211;35435;25697;28641;30208;32541;33387;33755;35905;34142;31834;34063;34266;38201;35914;38631;36031;30828;25449;14819;5669171
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;137;372;1350;2995;7166;20489;18490;19864;19374;19087;18568;19084;19222;19328;19141;18152;17018;19746;17565;22030;20475;20863;20105;20676;20281;20071;19826;20062;18295;20779;18807;21634;19850;21156;19271;19000;19438;19214;19149;18787;17852;22186;19572;20573;19358;19303;17980;17920;18593;18607;18532;18399;17475;18998;17135;18665;18406;20052;18301;18380;18731;18074;17728;16920;16615;18454;17150;18756;20170;20010;18764;18671;18214;18401;18507;17362;16590;18806;17126;18330;18145;18787;17263;17585;17715;18421;17647;16451;15660;16822;15309;18426;19038;18480;17094;17254;17923;17786;17650;17302;16498;18008;17747;18977;18406;19135;18477;18259;18865;18171;17916;17089;16165;17716;16714;19353;17921;19310;17714;17130;17757;17208;17619;17647;17153;18018;15716;18326;18965;19570;17942;17972;18169;17815;18305;17457;17382;18135;16848;18328;17971;19232;18044;18348;19084;19040;20290;18491;17797;18615;17587;16192;11831;13233;13700;14696;15154;16002;16562;16189;15814;16869;15616;17215;17233;18133;16837;15190;12775;9368;2996359
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;6;416;528;1537;4232;12037;45532;41771;44579;46423;45711;42307;42108;40659;41820;40195;36715;36374;39687;37516;47274;44662;43778;42007;42739;42293;40915;41180;39855;38958;40899;37820;44505;41982;44776;41649;41309;42236;40615;40426;39660;38594;42589;41738;44800;42362;42631;40493;39058;41366;39380;39950;38683;37622;39281;35817;41086;41316;41915;37703;37086;37970;36421;36938;35467;32422;38140;35199;39766;42187;43204;38538;40522;40164;39883;39857;37868;36437;41138;38454;41116;41994;43329;40142;41654;41021;41076;41081;38377;37960;38428;35112;42875;42548;42947;41291;41364;41483;39858;40495;37943;36059;38634;38886;41648;41485;42485;41071;39988;40785;39312;38535;36854;35548;38743;36536;43951;39629;41945;39671;39831;40827;38902;41117;38933;37447;41513;37125;43445;44781;45622;42524;42813;44356;41505;45201;42179;39690;44844;42681;44638;45943;47468;43082;45064;44416;44187;45947;42650;41432;44260;41573;40813;31176;34135;35101;37989;37620;39262;40149;39138;37177;38757;36933;44184;45415;46553;42082;36611;29901;17762;6694357
